project_id,deployment_id,image_id,filename,sequence_id,location,wi_taxon_id,class,order,family,genus,species,common_name,timestamp,bounding_boxes,transect_id,frame_id,detection_idx,detection_confidence,depth,world_x,world_y,world_z
2007160,Cam23,19b1f41a-e009-4e48-bbe1-7ba8c1690e0d,RCNX0440.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/bad869d4-0ab2-4abc-b868-7f002c804049.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:13:45,"{""{\""detectionBox\"":[0.440502971,0.488393962,0.822760761,0.621755302]}"",""{\""detectionBox\"":[0.435991019,0,0.973313868,0.17252019]}""}",Cam23,19b1f41a-e009-4e48-bbe1-7ba8c1690e0d,0,0.9582,15.2563,3.164,2.7453,14.7023
2007160,Cam23,87a17fed-fc17-4404-afe3-ca69d4c6af0d,RCNX0539.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/76f41e6d-aa2e-4955-bcc0-ed8682b2cabf.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:17:49,"{""{\""detectionBox\"":[0.496875554,0.382493138,0.95401603,0.724951]}"",""{\""detectionBox\"":[0.330972046,0.824792624,0.765425,0.948551297]}""}",Cam23,87a17fed-fc17-4404-afe3-ca69d4c6af0d,0,0.9712,14.1405,2.4268,3.4468,13.5403
2007160,Cam23,081e0749-7f6c-4815-acc0-be5b9513cded,RCNX0451.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/f0651707-436b-4899-94e4-ed5f15009db4.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:14:02,"{""{\""detectionBox\"":[0.381236017,0.0789961517,0.974067509,0.66306448]}""}",Cam23,081e0749-7f6c-4815-acc0-be5b9513cded,0,0.9759,12.5749,-0.7633,2.3897,12.3311
2007160,Cam23,0e69278e-a248-45a7-832c-2a786ae0ee03,RCNX0460.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/d90cf416-e268-46b0-a82b-267894fccb0d.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:15:01,"{""{\""detectionBox\"":[0.0249831937,0.049220562,0.978369534,0.511774182]}""}",Cam23,0e69278e-a248-45a7-832c-2a786ae0ee03,0,0.9744,7.9849,-1.1185,0.0428,7.9076
2007160,Cam23,ee9fdc86-6cd2-4aa9-a725-5aa0b538cfb2,RCNX0463.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/3a62ff3b-f281-4728-9038-53cfe5fd6fae.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:15:04,"{""{\""detectionBox\"":[0.0279245917,0.00243844092,0.978568852,0.450685441]}"",""{\""detectionBox\"":[0.485916257,0.943163693,0.61011517,0.999824]}""}",Cam23,ee9fdc86-6cd2-4aa9-a725-5aa0b538cfb2,0,0.9773,13.9759,-2.6654,0.0877,13.7282
2007160,Cam23,956b082a-9625-40e0-b695-509fa4aea76d,RCNX0479.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/43c80c72-ea7c-4271-91cc-d6f9327d92ae.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:16:10,"{""{\""detectionBox\"":[0.271819443,0,0.663803399,0.0968516171]}"",""{\""detectionBox\"":[0.565211117,0.000132501125,1,1]}""}",Cam23,956b082a-9625-40e0-b695-509fa4aea76d,0,0.731,15.6606,-4.9008,1.9738,14.8285
2007160,Cam23,d7cbfb9f-e4b3-447a-bc9f-d71f343a65ca,RCNX0482.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/cd6c1c58-6881-4ad6-91b4-475790b9086a.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:16:13,"{""{\""detectionBox\"":[0.43774122,0.216715842,0.976354599,0.442423373]}""}",Cam23,d7cbfb9f-e4b3-447a-bc9f-d71f343a65ca,0,0.9726,10.3053,-0.4413,2.2649,10.0559
2007160,Cam23,173d71da-7e06-42e2-9111-c6604f1ee53e,RCNX0439.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/c4c07cb0-f5d9-4214-886d-c3bd7eacaacf.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:13:44,"{""{\""detectionBox\"":[0.44123438,0.488806456,0.822205663,0.623077393]}"",""{\""detectionBox\"":[0.512486219,0.000127147883,0.928614318,0.0812924802]}""}",Cam23,173d71da-7e06-42e2-9111-c6604f1ee53e,0,0.9574,15.7274,3.2752,2.818,15.1557
2007160,Cam23,f538204e-bb75-4b37-afc1-0618eb48fa67,RCNX0449.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/a8bff08d-87b5-45a7-a374-3987dcca229c.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:14:00,"{""{\""detectionBox\"":[0.26546672,0.076197654,0.973762095,0.668137074]}""}",Cam23,f538204e-bb75-4b37-afc1-0618eb48fa67,0,0.9764,13.4513,-0.8082,1.7278,13.3177
2007160,Cam23,a51622b4-f3d7-47bb-b5c5-9a566854048c,RCNX0469.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/32c94ece-a48a-4571-b1c3-129ac6868114.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:15:10,"{""{\""detectionBox\"":[0.164669171,0.000361993909,0.976181567,0.435195982]}""}",Cam23,a51622b4-f3d7-47bb-b5c5-9a566854048c,0,0.9741,9.1332,-1.7842,0.7034,8.9373
2007160,Cam23,57705897-47ba-4581-b54e-2414cc62f2ba,RCNX0442.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/485a5119-f6b5-450e-a824-33e6ac4a1600.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:13:51,"{""{\""detectionBox\"":[0.366646051,0.000461250544,0.974187434,0.391137749]}"",""{\""detectionBox\"":[0.496305197,0.603721738,0.753768742,0.722703695]}""}",Cam23,57705897-47ba-4581-b54e-2414cc62f2ba,0,0.9675,12.1304,-2.5653,2.1963,11.6781
2007160,Cam23,4ea3e159-80d6-44fe-93ba-8370af1b62b7,RCNX0447.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/b56d4bdc-cd4a-49b0-a06a-bc59ee359774.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:13:56,"{""{\""detectionBox\"":[0.374420315,0.000759929419,0.97525394,0.441133]}""}",Cam23,4ea3e159-80d6-44fe-93ba-8370af1b62b7,0,0.9775,17.8497,-3.4721,3.3339,17.2234
2007160,Cam23,64e3b80a-b06a-4328-8d3f-2207c4a7409c,RCNX0456.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/ae2e76f2-62e4-4847-9583-9aa49d758d47.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:14:28,"{""{\""detectionBox\"":[0.116203174,0.087986514,0.979553223,0.564517796]}""}",Cam23,64e3b80a-b06a-4328-8d3f-2207c4a7409c,0,0.9749,13.6416,-1.2115,0.7517,13.5675
2007160,Cam23,4b980b63-c050-4989-a4eb-5376c3ac10ed,RCNX0438.JPG,8663682,gs://145625598251_2007160_901_pilot_24__main/deployment/2281104/f9c1e6e0-0a59-4692-b552-9fb22e623459.JPG,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,2024-02-15 18:13:42,"{""{\""detectionBox\"":[0.432424456,0.435737431,0.89375329,0.521542251]}""}",Cam23,4b980b63-c050-4989-a4eb-5376c3ac10ed,0,0.9444,13.5478,1.8491,2.723,13.1602
